model,dataset,false_positive_rate,true_positive_rate,threshold
Decision Tree — With Risk,With Risk Index,0.0847457627118644,0.3093220338983051,0.7255084795151199
Decision Tree — With Risk,With Risk Index,0.0847457627118644,0.326271186440678,0.7041457286432162
Decision Tree — With Risk,With Risk Index,0.11864406779661017,0.3686440677966102,0.6556514110250036
Decision Tree — With Risk,With Risk Index,0.1864406779661017,0.4661016949152542,0.612624653027655
Decision Tree — With Risk,With Risk Index,0.1864406779661017,0.5,0.5902566333188343
Decision Tree — With Risk,With Risk Index,0.288135593220339,0.6779661016949152,0.587702617042468
Decision Tree — With Risk,With Risk Index,0.288135593220339,0.6864406779661016,0.5680880330123796
Decision Tree — With Risk,With Risk Index,0.4745762711864407,0.8898305084745762,0.441486751717367
Decision Tree — With Risk,With Risk Index,0.5423728813559322,0.9152542372881356,0.4186979327368095
Decision Tree — With Risk,With Risk Index,0.6101694915254238,0.9322033898305084,0.3918096292197012
Decision Tree — With Risk,With Risk Index,0.6610169491525424,0.940677966101695,0.22258901202546566
Decision Tree — With Risk,With Risk Index,0.8135593220338984,0.9745762711864406,0.18616182105025914
Decision Tree — With Risk,With Risk Index,0.847457627118644,0.9830508474576272,0.17011052378664104
Decision Tree — With Risk,With Risk Index,0.9491525423728814,0.9957627118644068,0.09108452335005789
Decision Tree — With Risk,With Risk Index,1.0,1.0,0.07707380796864793
Random Forest — Without Risk,Without Risk Index,0.0,0.0,inf
Random Forest — Without Risk,Without Risk Index,0.0,0.0635593220338983,0.7847580169916635
Random Forest — Without Risk,Without Risk Index,0.0,0.0847457627118644,0.7159040827488641
Random Forest — Without Risk,Without Risk Index,0.05084745762711865,0.18220338983050846,0.7083572434722564
Random Forest — Without Risk,Without Risk Index,0.0847457627118644,0.288135593220339,0.6977622277434097
Random Forest — Without Risk,Without Risk Index,0.0847457627118644,0.3220338983050847,0.6691914101259983
Random Forest — Without Risk,Without Risk Index,0.0847457627118644,0.326271186440678,0.6528168754407319
Random Forest — Without Risk,Without Risk Index,0.11864406779661017,0.3686440677966102,0.6452423151137167
Random Forest — Without Risk,Without Risk Index,0.11864406779661017,0.4025423728813559,0.6277014993510942
Random Forest — Without Risk,Without Risk Index,0.1864406779661017,0.5,0.6154501346717678
Random Forest — Without Risk,Without Risk Index,0.1864406779661017,0.5084745762711864,0.5580074002660174
Random Forest — Without Risk,Without Risk Index,0.288135593220339,0.6864406779661016,0.5578719524493657
Random Forest — Without Risk,Without Risk Index,0.3050847457627119,0.6864406779661016,0.49636398486756295
Random Forest — Without Risk,Without Risk Index,0.4745762711864407,0.8771186440677966,0.4696928266538745
Random Forest — Without Risk,Without Risk Index,0.5423728813559322,0.8940677966101694,0.45402309737360896
Random Forest — Without Risk,Without Risk Index,0.576271186440678,0.8983050847457628,0.4067686066531332
Random Forest — Without Risk,Without Risk Index,0.5932203389830508,0.8983050847457628,0.3533148252541042
Random Forest — Without Risk,Without Risk Index,0.5932203389830508,0.9110169491525424,0.3532175140085714
Random Forest — Without Risk,Without Risk Index,0.6101694915254238,0.9322033898305084,0.3464868130478548
Random Forest — Without Risk,Without Risk Index,0.6271186440677966,0.9364406779661016,0.33188727878061075
Random Forest — Without Risk,Without Risk Index,0.6440677966101694,0.9364406779661016,0.3037011769086374
Random Forest — Without Risk,Without Risk Index,0.6440677966101694,0.940677966101695,0.2997464285848305
Random Forest — Without Risk,Without Risk Index,0.6610169491525424,0.940677966101695,0.29303062299387017
Random Forest — Without Risk,Without Risk Index,0.6949152542372882,0.940677966101695,0.2787574120658265
Random Forest — Without Risk,Without Risk Index,0.711864406779661,0.9491525423728814,0.2636599921870808
Random Forest — Without Risk,Without Risk Index,0.7796610169491526,0.9576271186440678,0.23606463162289332
Random Forest — Without Risk,Without Risk Index,0.8135593220338984,0.9576271186440678,0.22180180462289983
Random Forest — Without Risk,Without Risk Index,0.8135593220338984,0.9661016949152542,0.21259757183663205
Random Forest — Without Risk,Without Risk Index,0.8305084745762712,0.9661016949152542,0.20808963414326595
Random Forest — Without Risk,Without Risk Index,0.8305084745762712,0.9745762711864406,0.19773090594629647
Random Forest — Without Risk,Without Risk Index,0.8305084745762712,0.9830508474576272,0.18929926699516514
Random Forest — Without Risk,Without Risk Index,0.8305084745762712,0.9872881355932204,0.1777020377898309
Random Forest — Without Risk,Without Risk Index,0.8813559322033898,0.9872881355932204,0.13147775113479232
Random Forest — Without Risk,Without Risk Index,0.9152542372881356,0.9872881355932204,0.12596613222634412
Random Forest — Without Risk,Without Risk Index,0.9322033898305084,0.9915254237288136,0.10964269880018072
Random Forest — Without Risk,Without Risk Index,0.9491525423728814,0.9915254237288136,0.10145669038746045
Random Forest — Without Risk,Without Risk Index,0.9491525423728814,0.9957627118644068,0.1010958924891994
Random Forest — Without Risk,Without Risk Index,0.9661016949152542,0.9957627118644068,0.09307584608020043
Random Forest — Without Risk,Without Risk Index,0.9830508474576272,1.0,0.07020501195885517
Random Forest — Without Risk,Without Risk Index,1.0,1.0,0.057977862149697544
Random Forest — With Risk,With Risk Index,0.0,0.0,inf
Random Forest — With Risk,With Risk Index,0.0,0.0635593220338983,0.80885715289778
Random Forest — With Risk,With Risk Index,0.0,0.0847457627118644,0.7515554761900152
Random Forest — With Risk,With Risk Index,0.05084745762711865,0.18220338983050846,0.7169279767515059
Random Forest — With Risk,With Risk Index,0.0847457627118644,0.288135593220339,0.7157259395842291
Random Forest — With Risk,With Risk Index,0.0847457627118644,0.3220338983050847,0.6904075344786638
Random Forest — With Risk,With Risk Index,0.0847457627118644,0.326271186440678,0.6573825850581071
Random Forest — With Risk,With Risk Index,0.11864406779661017,0.3686440677966102,0.6539694680559509
Random Forest — With Risk,With Risk Index,0.11864406779661017,0.4025423728813559,0.6299699403282645
Random Forest — With Risk,With Risk Index,0.1864406779661017,0.5,0.6164448974853127
Random Forest — With Risk,With Risk Index,0.288135593220339,0.6779661016949152,0.5660782744505386
Random Forest — With Risk,With Risk Index,0.288135593220339,0.6864406779661016,0.5464816559992894
Random Forest — With Risk,With Risk Index,0.3050847457627119,0.6864406779661016,0.5150495623151877
Random Forest — With Risk,With Risk Index,0.4745762711864407,0.8771186440677966,0.4661975543095905
Random Forest — With Risk,With Risk Index,0.5423728813559322,0.8940677966101694,0.43296921751513495
